词性,出现次数
/n/r/v/u/n,3
/u/v/v/n/n,41
/v/n/u/n/v,14
/d/n/n/r/v,6
/n/u/v/u/u,3
/n/v/v/v/a,24
/n/v/d/d/v,12
/r/n/v/n/v,14
/v/v/n/v/r,14
/a/v/n/u/n,5
/d/d/v/p/v,5
/d/m/p/u/u,2
/a/v/n/v/v,24
/d/n/d/v/v,36
/d/n/v/v/u,15
/a/v/v/n/u,11
/u/n/v/u/v,9
/u/u/v/d/v,7
/u/v/d/v/v,30
/v/r/v/v/r,11
/v/u/v/c/u,3
/c/v/u/n/v,2
/d/d/n/v/r,7
/a/d/v/v/n,5
/d/v/n/n/n,16
/u/d/r/v/v,3
/u/n/v/n/v,30
/n/r/v/d/v,15
/r/v/d/v/v,10
/u/n/r/v/d,3
/v/m/v/v/u,3
/v/n/v/r/v,15
/v/p/n/v/v,3
/a/v/n/v/p,3
/n/v/v/r/v,41
/u/u/v/d/u,3
/v/n/v/n/u,22
/a/n/v/v/v,17
/n/v/u/d/n,7
/r/v/n/v/v,48
/d/n/u/v/v,8
/d/v/v/r/v,20
/n/d/d/u/p,3
/n/v/r/n/d,3
/n/v/n/u/v,30
/v/n/u/v/n,15
/v/v/d/r/v,7
/d/r/v/d/v,3
/v/v/v/r/n,25
/r/v/v/v/u,20
/n/v/m/d/v,3
/r/n/d/v/m,3
/p/v/n/v/v,4
/v/d/n/m/d,4
/v/u/d/r/v,4
/r/v/v/d/n,10
/n/v/v/n/u,10
/p/v/n/n/v,3
/v/r/d/u/v,4
/n/n/v/v/d,29
/n/v/p/v/v,3
/u/q/v/v/v,3
/v/n/u/n/n,3
/a/u/v/n/r,3
/n/u/u/n/u,6
/nh/v/v/n/v,6
/u/r/d/v/n,6
/u/v/u/u/u,3
/v/u/v/d/v,34
/a/c/d/r/u,2
/a/n/v/u/u,2
/a/v/u/v/n,2
/v/v/u/v/u,23
/d/n/n/v/u,12
/v/v/d/n/d,7
/a/v/n/v/n,11
/a/v/v/d/v,8
/d/a/v/nh/n,2
/n/v/n/n/u,23
/v/n/a/v/u,4
/v/r/v/v/n,35
/v/u/a/v/v,7
/v/v/nh/v/v,31
/n/d/u/v/v,19
/n/n/r/v/r,3
/n/v/v/m/n,3
/r/u/v/d/u,3
/v/v/n/n/d,16
/u/v/n/v/n,38
/v/d/v/r/v,9
/v/v/p/v/v,9
/m/v/m/v/d,5
/p/v/v/v/d,3
/r/v/v/d/r,3
/a/r/n/v/n,2
/r/n/v/v/v,43
/ws/v/a/d/d,5
/n/c/v/v/n,9
/n/r/v/v/n,31
/n/v/v/n/c,3
/r/v/v/n/r,9
/v/v/n/nh/v,18
/p/d/v/v/n,3
/r/n/r/v/v,10
/r/v/a/n/v,3
/n/d/u/v/r,5
/n/r/r/n/n,3
/u/v/n/u/u,9
/d/d/a/v/n,3
/d/v/r/d/v,3
/u/n/n/v/u,3
/v/n/u/u/v,10
/a/v/d/v/v,9
/a/v/v/r/n,2
/v/v/v/n/d,114
/d/n/d/v/n,16
/d/v/r/v/n,25
/n/d/u/v/n,13
/n/n/n/v/r,3
/u/n/v/v/u,12
/v/u/n/d/v,6
/v/v/r/v/a,3
/a/r/v/v/n,6
/ws/ws/ws/ws/ws,60
/a/v/v/n/v,34
/v/d/v/a/v,4
/v/m/v/v/r,7
/v/r/r/v/v,3
/v/r/v/u/r,3
/a/n/n/n/v,2
/a/n/r/u/v,4
/u/r/v/u/v,9
/v/u/v/d/u,10
/d/n/p/d/u,2
/d/u/v/n/q,2
/d/v/n/v/u,25
/n/u/u/a/u,2
/n/v/p/v/u,2
/d/u/n/n/d,3
/n/r/n/v/v,20
/n/v/d/u/v,19
/n/d/n/v/v,79
/n/n/d/n/v,18
/n/v/d/n/n,14
/a/d/v/v/r,3
/n/n/v/d/n,9
/n/nd/p/n/v,3
/n/v/n/n/ws,9
/nd/p/n/v/n,9
/p/n/v/n/n,12
/v/d/v/v/d,32
/v/v/u/n/n,11
/d/n/v/d/v,12
/n/v/v/n/m,3
/u/n/v/n/n,13
/u/u/v/n/v,7
/nd/n/v/n/n,3
/n/u/v/u/d,3
/d/v/u/v/n,21
/n/d/v/v/u,21
/r/v/n/d/n,3
/v/v/v/d/d,10
/r/a/u/v/v,3
/n/n/n/p/v,3
/v/n/d/u/n,9
/v/r/n/n/v,3
/n/n/q/v/n,3
/n/q/v/n/v,3
/u/v/v/r/r,3
/v/v/u/v/d,23
/m/n/v/v/v,19
/n/a/v/n/u,7
/v/n/v/u/n,22
/v/u/d/v/n,3
/n/n/v/n/n,55
/ns/ns/ns/ns/ns,7
/u/d/u/v/v,18
/u/v/v/d/v,17
/v/v/r/n/v,20
/a/v/v/d/n,8
/d/u/v/v/n,26
/n/d/n/n/d,3
/v/v/v/a/n,3
/d/n/u/v/n,7
/n/n/n/v/u,3
/n/n/v/u/n,20
/d/v/u/u/n,3
/n/v/v/q/r,3
/v/u/u/n/v,13
/a/r/v/d/v,4
/d/n/v/v/r,8
/d/p/n/d/a,2
/d/v/v/r/d,3
